Country Name,Indicator Name,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
北京市,本科结业人数,12.03,12.14,12,11.77,11.51,11.41,11.38,11.12,11.01,11.21
天津市,本科结业人数,7.85,7.9,7.96,7.56,7.32,6.72,6.22,5.71,5.57,5.34
河北省,本科结业人数,17.14,17.04,16.36,15.85,15.31,14.62,13.35,12.03,10.8,9.95
山西省,本科结业人数,11.75,11.33,10.15,9.14,8.54,7.64,7.22,6.51,6.05,5.78
内蒙古自治区,本科结业人数,5.8,5.75,5.51,5.45,5.35,5.03,4.57,4.13,3.62,3.08
辽宁省,本科结业人数,17.75,17.41,16.59,16.02,15.23,14.67,14.75,14,13.25,12.58
吉林省,本科结业人数,11.31,11.5,11.37,10.98,10.49,10.34,9.81,9.18,8.61,8.82
黑龙江省,本科结业人数,12.49,12.54,12.73,12.49,11.92,11.65,11.79,10.79,9.84,9.44
上海市,本科结业人数,8.58,8.69,8.77,8.54,8.51,8.46,8.57,8.42,7.83,7.19
江苏省,本科结业人数,26.01,25.29,24.42,24.59,24.56,23.64,23.18,22.55,19.89,18.68
浙江省,本科结业人数,14.93,14.61,14.62,14.03,13.42,12.82,12.62,11.68,10.89,9.9
安徽省,本科结业人数,15.41,15.21,14.71,14.13,13.33,12.2,11.49,10.59,9.04,8.27
福建省,本科结业人数,12.1,12.18,11.2,10.98,10.24,9.45,8.86,7.94,7.17,6.62
江西省,本科结业人数,12.69,12.26,12.15,11.5,11.14,10.1,9.4,8.5,8.16,8.15
山东省,本科结业人数,23.96,24.55,23.66,22.75,21.55,21.17,20.56,17.93,18.27,18
河南省,本科结业人数,26.2,25.38,24.28,22.27,20.89,18.42,16.78,15.4,13.76,12.77
湖北省,本科结业人数,20.4,21.28,21.62,20.92,19.81,18.03,16.81,15.76,14.89,15.01
湖南省,本科结业人数,16.42,16.23,16.23,15.42,15.13,14.2,13.24,11.98,10.94,10.62
广东省,本科结业人数,25.4,24.56,23.36,22.41,21.14,20.05,18.13,16.23,15.29,13.45
广西壮族自治区,本科结业人数,9.75,8.89,8.25,7.68,7.1,6.51,6.21,5.68,4.79,4.24
海南省,本科结业人数,2.49,2.49,2.53,2.5,2.35,2,1.8,1.58,1.38,1.06
重庆市,本科结业人数,10.53,10.47,10.93,9.97,9.24,8.25,7.5,7,6.65,6.12
四川省,本科结业人数,18.64,18.43,18.25,17.57,17.46,16.49,15.36,13.78,12.61,12.5
贵州省,本科结业人数,6.99,7.5,6.42,5.8,5.12,4.31,3.97,3.78,3.33,3.07
云南省,本科结业人数,9.57,9.64,8.58,8.91,7.41,6.5,5.87,5.05,4.67,4.28
西藏自治区,本科结业人数,0.56,0.55,0.52,0.51,0.49,0.48,0.47,0.46,0.46,0.47
陕西省,本科结业人数,16.96,17.27,18.38,16.73,15.09,13.61,13.3,12.06,11.31,10.9
甘肃省,本科结业人数,7.06,7.02,7.06,6.72,6.43,6.08,5.73,5.12,4.57,3.96
青海省,本科结业人数,0.83,0.79,0.8,0.74,0.72,0.68,0.66,0.6,0.58,0.55
宁夏回族自治区,本科结业人数,1.79,1.72,1.68,1.55,1.33,1.26,1.18,1,0.92,0.77
新疆维吾尔自治区,本科结业人数,3.45,3.57,3.26,3.11,3.26,3.2,3.08,3.05,2.89,2.77
