edu18,edu17,edu10,edu09,marry18,marry17,marry10,marry09,province,GDP18,GDP17,GDP10,GDP09,price18,price17,price10,price09,salary18,salary17,salary10,salary09
12.03,12.14,11.01,11.21,13.78,15.15,13.8,18.18,北京市,140211,128994,73856,66940,37420.19,34117,17151,13224,145766,131700,65158,57779
7.85,7.9,5.57,5.34,9.75,9.51,8.7,10.4,天津市,120711,118944,72994,62574,15924.26,15139,7940,6605,100731,94534,51489,43937
17.14,17.04,10.8,9.95,45.87,50.49,75,72,河北省,47772,45387,28668,24581,7566.72,7039,3442,3210,68717,63036,31451,27774
11.75,11.33,6.05,5.78,27.85,28.77,36.1,34.36,山西省,45328,42060,26283,21522,6649.11,5457,3338,2552,65917,60061,33057,28066
5.8,5.75,3.62,3.08,17.69,18.7,20.3,18.84,内蒙古自治区,68302,63764,47347,39735,5339.79,4239,2983,2649,73835,66679,35211,30486
17.75,17.41,13.25,12.58,28.08,29.19,32.2,38.17,辽宁省,58008,53527,42355,35149,7358.35,6458,4303,3872,67324,61153,34437,30523
11.31,11.5,8.61,8.82,19.32,20.63,22.3,23.91,吉林省,55611,54838,31599,26595,6800.56,5748,3495,2788,68533,61451,29003,25943
12.49,12.54,9.84,9.44,27.82,28.67,30.9,30.39,黑龙江省,43274,41916,27076,22447,6678.06,6073,3492,3067,60780,56067,27735,24805
8.58,8.69,7.83,7.19,10.51,10.87,13,14.99,上海市,134982,126634,76074,69165,28981.11,24866,14290,12364,140400,129795,66115,58336
26.01,25.29,19.89,18.68,63.77,67.55,75.9,73.09,江苏省,115168,107150,52840,44253,10542.48,9070,5592,4805,84688,78267,39772,35217
14.93,14.61,10.89,9.9,33.73,34.44,43.2,42.76,浙江省,98643,92057,51711,43842,15242.01,13430,9332,7890,88883,80750,40640,36553
15.41,15.21,9.04,8.27,61.91,67.38,65.2,61,安徽省,47712,43401,20888,16408,6937.06,6137,3899,3235,74378,65150,33341,28723
12.1,12.18,7.17,6.62,27.36,29.14,38.2,36.06,福建省,91197,82677,40025,33437,10612.64,9284,6077,5366,74316,67420,32340,28366
12.69,12.26,8.16,8.15,33.06,28.91,36.1,40.81,江西省,47434,43424,21253,17335,6539.84,5800,2959,2517,68573,61429,28363,24165
23.96,24.55,18.27,18,59.9,62.58,92.5,91.84,山东省,76267,72807,41106,35894,7386.25,6153,3809,3390,73593,68081,33321,29398
26.2,25.38,13.76,12.77,80.9,86.97,101.4,85.88,河南省,50152,46674,24446,20597,5530.6,5038,2856,2501,63174,55495,29819,26906
20.4,21.28,14.89,15.01,43.78,47.21,57.1,56.54,湖北省,66616,60199,27906,22677,8135.76,7307,3506,3413,73777,65912,31811,26547
16.42,16.23,10.94,10.62,42.16,45.77,63.5,65.29,湖南省,52949,49558,24719,20428,5473.14,4846,3014,2532,70221,63690,29670,26534
25.4,24.56,15.29,13.45,71.38,75.81,85.7,86.45,广东省,86412,80932,44736,39436,12915.25,11416,7004,6360,88636,79183,40432,36469
9.75,8.89,4.79,4.24,36.19,37.94,52.7,51.56,广西壮族自治区,41489,38102,20219,16045,5958.53,5623,3382,3133,70606,63821,30673,27322
2.49,2.49,1.38,1.06,7.27,7.58,11.3,13,海南省,51955,48430,23831,19254,14104.76,11381,8800,6291,75885,67727,30775,24790
10.53,10.47,6.65,6.12,25.88,26.6,31.3,30.11,重庆市,65933,63442,27596,22920,8189.98,6605,4040,3266,78928,70889,34727,30499
18.64,18.43,12.61,12.5,66.9,68.95,71.5,71,四川省,48883,44651,21182,17339,6691.23,5888,3985,3434,77686,69419,32567,28149
6.99,7.5,3.33,3.07,40.03,40.36,37.5,30.79,贵州省,41244,37956,13119,10971,5129.19,4165,3142,2642,78316,71795,30433,27437
9.57,9.64,4.67,4.28,37.76,40.28,40.2,34.29,云南省,37136,34221,15752,13539,7384.44,5664,2893,2723,75701,69106,29195,26163
0.56,0.55,0.46,0.47,3.01,3.41,1.3,1.36,西藏自治区,43398,39267,17027,15008,6914.73,5604,2761,2392,116015,108817,49898,45347
16.96,17.27,11.31,10.9,30.04,30.06,34.7,31.94,陕西省,63477,57266,27133,21947,7921.85,6477,3668,3113,71983,65181,33384,29566
7.06,7.02,4.57,3.96,21.07,19.79,14.2,12.24,甘肃省,31336,28497,16113,13269,5387.05,5326,2938,2396,70695,63374,29096,26743
0.83,0.79,0.58,0.55,5.73,5.97,3,2.97,青海省,47689,44047,24115,19454,5936.6,5298,2894,2442,85379,75701,36121,32481
1.79,1.72,0.92,0.77,6.07,6.03,6,5.66,宁夏回族自治区,54094,50765,26860,21777,4736.94,4243,3107,2824,78384,70298,37166,32916
3.45,3.57,2.89,2.77,15.37,18.39,26.4,26.55,新疆维吾尔自治区,49475,44941,25034,19942,5427.31,4538,2872,2466,75457,67932,32003,27617
